#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
6.993, 5.311
6.998, 5.313
7.003, 5.313
7.008, 5.314
7.013, 5.315
7.018, 5.316
7.023, 5.316
7.028, 5.315
7.033, 5.314
7.038, 5.313
7.043, 5.317
7.048, 5.317
7.053, 5.315
7.058, 5.320
7.063, 5.313
7.068, 5.315
7.073, 5.313
7.078, 5.315
7.083, 5.317
7.088, 5.309
7.093, 5.308
7.098, 5.309
7.103, 5.316
7.108, 5.317
7.113, 5.324
7.118, 5.324
7.123, 5.319
7.128, 5.322
7.133, 5.321
7.138, 5.318
7.143, 5.323
7.148, 5.323
7.153, 5.318
7.158, 5.316
7.163, 5.310
7.168, 5.312
7.173, 5.314
7.178, 5.316
7.183, 5.316
7.188, 5.314
7.193, 5.315
7.198, 5.317
7.203, 5.316
7.208, 5.321
7.213, 5.323
7.218, 5.326
7.223, 5.329
7.228, 5.323
7.233, 5.321
7.238, 5.322
7.243, 5.316
7.248, 5.322
7.253, 5.324
7.258, 5.326
7.263, 5.324
7.268, 5.318
7.273, 5.314
7.278, 5.317
7.283, 5.317
7.288, 5.320
7.293, 5.325
7.298, 5.325
7.303, 5.324
7.308, 5.326
7.313, 5.335
7.318, 5.331
7.323, 5.330
7.328, 5.332
7.333, 5.333
7.338, 5.333
7.343, 5.332
7.348, 5.334
7.353, 5.329
7.358, 5.327
7.363, 5.331
7.368, 5.327
7.373, 5.326
7.378, 5.329
7.383, 5.330
7.388, 5.324
7.393, 5.332
7.398, 5.327
7.403, 5.331
7.408, 5.330
7.413, 5.332
7.418, 5.325
7.423, 5.324
7.428, 5.331
7.433, 5.327
7.438, 5.323
7.443, 5.320
7.448, 5.316
7.453, 5.318
7.458, 5.318
7.463, 5.317
7.468, 5.320
7.473, 5.316
7.478, 5.320
7.483, 5.326
7.488, 5.328
7.493, 5.328
7.498, 5.323
7.503, 5.316
7.508, 5.317
7.513, 5.317
7.518, 5.316
7.523, 5.319
7.528, 5.322
7.533, 5.318
7.538, 5.315
7.543, 5.317
7.548, 5.314
7.553, 5.318
7.558, 5.321
7.563, 5.319
7.568, 5.315
7.573, 5.319
7.578, 5.315
7.583, 5.320
7.588, 5.319
7.593, 5.323
7.598, 5.321
7.603, 5.325
7.608, 5.319
7.613, 5.315
7.618, 5.323
7.623, 5.323
7.628, 5.318
7.633, 5.318
7.638, 5.317
7.643, 5.312
7.648, 5.310
7.653, 5.314
7.658, 5.314
